Sr number,States/ UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,TM_01,TM_02,TM_03,TM_04,TM_05,TM_06,TM_07,TM_08,TM_09,TM_10,2011,2012,TF_01,TF_02,TF_03,TF_04,TF_05,TF_06,TF_07,TF_08,TF_09,TF_10,2011,2012,TA_01,TA_11,LR_01,LR_02,LR_03,LR_04,LR_05,LR_06,LR_07,LR_08,LR_09,LR_10,2011,2012,LR_M01,LR_M11,LR_F01,LR_F11
13,Madhya Pradesh,60348023,64874125,65036310,65198901,65361898,65525303,65689116,65853339,66017972,66183017,66348475,66879262.8,31443652,33801926,33886431,33971147,34056075,34141215,34226568,34312134,34397915,34483909,34570119,34846679.95,28904371,31072199,31149879,31383503,31618880,31856021,32094941,32335654,32578171,32822507,33068676,33333225.41,308245,308252,0.64,0.65,0.65,0.66,0.66,0.67,0.67,0.68,0.68,0.69,0.74,0.75,0.68,0.81,0.39,0.6
14,Maharashtra,96878627,104144524,104404885,104665898,104927562,105189881,105452856,105716488,105980779,106245731,106511346,107363436.8,50400596,54180641,54316092,54451883,54588012,54724482,54861293,54998447,55135943,55273783,55411967,55855262.74,46478031,49963883,50088793,50464459,50842942,51224264,51608446,51995510,52385476,52778367,53174205,53599598.64,307713,307713,0.77,0.78,0.78,0.79,0.79,0.80,0.81,0.81,0.82,0.83,0.89,0.90,0.76,0.9,0.51,0.76
15,Manipur,2293896,2465938,2472103,2478283,2484479,2490690,2496917,2503159,2509417,2515691,2521980,2542155.84,1161952,1249098,1252221,1255352,1258490,1261636,1264790,1267952,1271122,1274300,1277486,1287705.888,1131944,1216840,1219882,1229031,1238249,1247536,1256892,1266319,1275816,1285385,1295025,1305385.2,22327,22327,0.71,0.72,0.72,0.73,0.73,0.74,0.74,0.75,0.76,0.76,0.82,0.83,0.78,0.87,0.52,0.73
16,Meghalaya,2318822,2492734,2498965,2505213,2511476,2517755,2524049,2530359,2536685,2543027,2549384,2569779.072,1176087,1264294,1267454,1270623,1273799,1276984,1280176,1283377,1286585,1289802,1293026,1303370.208,1142735,1228440,1231511,1240748,1250053,1259429,1268874,1278391,1287979,1297639,1307371,1317829.968,22429,22429,0.63,0.64,0.64,0.65,0.65,0.66,0.66,0.67,0.67,0.68,0.73,0.74,0.77,0.77,0.5,0.74
17,Mizoram,888573,955216,957604,959998,962398,964804,967216,969634,972058,974488,976925,984740.4,459109,493542,494776,496013,497253,498496,499742,500992,502244,503500,504759,508797.072,429464,461674,462828,466299,469796,473320,476870,480446,484050,487680,491338,495268.704,21081,21081,0.89,0.90,0.90,0.91,0.92,0.93,0.93,0.94,0.95,0.96,1.03,1.04,0.92,0.94,0.59,0.89
18,Nagaland,1990036,2139289,2144637,2149999,2155374,2160762,2166164,2171579,2177008,2182451,2187907,2205410.256,1047141,1125677,1128491,1131312,1134140,1136976,1139818,1142668,1145524,1148388,1151259,1160469.072,942895,1013612,1016146,1023767,1031446,1039181,1046975,1054828,1062739,1070709,1078740,1087369.92,16579,16579,0.67,0.68,0.68,0.69,0.69,0.70,0.70,0.71,0.71,0.72,0.78,0.78,0.88,0.83,0.7,0.77
19,Odisha,36804660,39565010,39663922,39763082,39862490,39962146,40062051,40162206,40262612,40363268,40464176,40787889.41,18660570,20060113,20110263,20160539,20210940,20261467,20312121,20362901,20413809,20464843,20516005,20680133.04,18144090,19504897,19553659,19700311,19848064,19996924,20146901,20298003,20450238,20603615,20758142,20924207.14,155707,155707,0.63,0.64,0.64,0.65,0.65,0.66,0.66,0.67,0.67,0.68,0.73,0.74,0.73,0.82,0.43,0.64
20,Punjab,24358999,26185924,26251389,26317017,26382810,26448767,26514889,26581176,26647629,26714248,26781034,26995282.27,12985045,13958923,13993821,14028805,14063877,14099037,14134285,14169620,14205044,14240557,14276158,14390367.26,11373954,12227001,12257568,12349500,12442121,12535437,12629453,12724174,12819605,12915752,13012620,13116720.96,50362,50362,0.70,0.71,0.71,0.72,0.72,0.73,0.73,0.74,0.75,0.75,0.81,0.82,0.71,0.82,0.51,0.71
21,Rajasthan,56507188,60745227,60897090,61049333,61201956,61354961,61508349,61662119,61816275,61970815,62125742,62622747.94,29420011,31626512,31705578,31784842,31864304,31943965,32023825,32103884,32184144,32264604,32345266,32604028.13,27087177,29118715,29191512,29410448,29631027,29853259,30077159,30302738,30530008,30758983,30989676,31237593.41,342239,342239,0.60,0.60,0.61,0.61,0.62,0.62,0.63,0.63,0.64,0.64,0.70,0.70,0.76,0.81,0.57,0.53
22,Sikkim,540851,581415,582868,584326,585786,587251,588719,590191,591666,593145,594628,599385.024,288484,310120,310896,311673,312452,313233,314016,314801,315588,316377,317168,319705.344,252367,271295,271973,274013,276068,278138,280224,282326,284443,286577,288726,291035.808,7096,7096,0.69,0.70,0.70,0.71,0.71,0.72,0.72,0.73,0.74,0.74,0.80,0.81,0.89,0.87,0.76,0.76
23,Tamil Nadu,62405679,67086105,67253820,67421955,67590510,67759486,67928885,68098707,68268954,68439626,68610725,69159610.8,31400909,33755977,33840367,33924968,34009780,34094805,34180042,34265492,34351156,34437034,34523126,34799311.01,31004770,33330128,33413453,33664054,33916534,34170908,34427190,34685394,34945535,35207626,35471683,35755456.46,130058,130060,0.74,0.75,0.75,0.76,0.76,0.77,0.78,0.78,0.79,0.80,0.86,0.87,0.93,0.87,0.82,0.74
24,Telangana,3829753,4116984,4127277,4137595,4147939,4158309,4168705,4179126,4189574,4200048,4210548,4244232.384,1981173,2129761,2135085,2140423,2145774,2151139,2156516,2161908,2167312,2172731,2178163,2195588.304,1848580,1987224,1992192,2007133,2022186,2037353,2052633,2068028,2083538,2099165,2114908,2131827.264,217,217,0.69,0.70,0.70,0.71,0.71,0.72,0.72,0.73,0.74,0.74,0.80,0.81,0.94,0.75,0.88,0.58
25,Uttar Pradesh,166197921,178662765,179109422,179557196,180006089,180456104,180907244,181359512,181812911,182267443,182723112,184184896.9,87565369,94132772,94368104,94604024,94840534,95077635,95315329,95553618,95792502,96031983,96272063,97042239.5,78632552,84529993,84741318,85376878,86017205,86662334,87312301,87967144,88626897,89291599,89961286,90680976.29,240928,240928,0.56,0.56,0.57,0.57,0.58,0.58,0.59,0.59,0.60,0.60,0.65,0.65,0.82,0.79,0.65,0.59
26,Uttarakhand,8489349,9126050,9148865,9171737,9194667,9217653,9240698,9263799,9286959,9310176,9333452,9408119.616,4325924,4650368,4661994,4673649,4685333,4697047,4708789,4720561,4732363,4744194,4756054,4794102.432,4163425,4475682,4486871,4520523,4554427,4588585,4622999,4657672,4692604,4727799,4763257,4801363.056,53483,53483,0.72,0.73,0.73,0.74,0.74,0.75,0.76,0.76,0.77,0.77,0.84,0.84,0.89,0.88,0.74,0.71
27,West Bengal,80176197,86189412,86404885,86620898,86837450,87054543,87272180,87490360,87709086,87928359,88148180,88853365.44,41465985,44575934,44687374,44799092,44911090,45023368,45135926,45248766,45361888,45475292,45588981,45953692.85,38710212,41613478,41717512,42030393,42345621,42663213,42983187,43305561,43630353,43957580,44287262,44641560.1,88752,88752,0.69,0.70,0.70,0.71,0.71,0.72,0.72,0.73,0.74,0.74,0.80,0.81,0.86,0.83,0.75,0.71
28,Andaman & Nicobar,356152,382863,383821,384780,385742,386706,387673,388642,389614,390588,391564,394696.512,192972,207445,207964,208483,209005,209527,210051,210576,211103,211630,212159,213856.272,163180,175419,175857,177176,178505,179844,181192,182551,183920,185300,186690,188183.52,8249,8249,0.81,0.82,0.82,0.83,0.84,0.84,0.85,0.86,0.86,0.87,0.94,0.95,0.75,0.9,0.54,0.82
29,Chandigarh,900635,968183,970603,973030,975462,977901,980346,982796,985253,987717,990186,998107.488,506938,544958,546321,547687,549056,550428,551804,553184,554567,555953,557343,561801.744,393697,423224,424282,427464,430670,433900,437155,440433,443737,447065,450418,454021.344,114,114,0.82,0.83,0.83,0.84,0.85,0.85,0.86,0.87,0.87,0.88,0.95,0.96,0.84,0.91,0.6,0.81
30,Dadra & Nagar Haveli,220490,237027,237619,238213,238809,239406,240004,240604,241206,241809,242413,244352.304,121666,130791,131118,131446,131774,132104,132434,132765,133097,133430,133763,134833.104,98824,106236,106501,107300,108105,108916,109733,110556,111385,112220,113062,113966.496,491,491,0.60,0.60,0.61,0.61,0.62,0.62,0.63,0.63,0.64,0.64,0.70,0.70,0.87,0.87,0.75,0.66
31,Daman &  Diu,158204,170069,170494,170921,171348,171776,172206,172636,173068,173501,173934,175325.472,92512,99450,99699,99948,100198,100449,100700,100952,101204,101457,101711,102524.688,65692,70619,70795,71326,71861,72400,72943,73490,74042,74597,75156,75757.248,112,111,0.81,0.82,0.82,0.83,0.84,0.84,0.85,0.86,0.86,0.87,0.94,0.95,0.76,0.88,0.44,0.7
35,Lakshadweep,60650,65199,65362,65525,65689,65853,66018,66183,66348,66514,66680,67213.44,31131,33466,33549,33633,33717,33802,33886,33971,34056,34141,34226,34499.808,29519,31733,31812,32051,32291,32533,32777,33023,33271,33520,33772,34042.176,32,30,0.81,0.82,0.82,0.83,0.84,0.84,0.85,0.86,0.86,0.87,0.94,0.95,0.78,0.96,0.6,0.88
37,Pondicherry,974345,1047421,1050039,1052665,1055296,1057934,1060579,1063231,1065889,1068554,1071225,1079794.8,486961,523483,524792,526104,527419,528738,530059,531385,532713,534045,535380,539663.04,487384,523938,525248,529187,533156,537155,541183,545242,549331,553451,557602,562062.816,479,490,0.81,0.82,0.82,0.83,0.84,0.84,0.85,0.86,0.86,0.87,0.94,0.95,0.86,0.92,0.68,0.81
